timestamp,c,h,l,o
2020-01-06T15:00:00Z,44.4713327408,44.9791356406,44.4713327408,44.9791356406
2020-01-06T16:00:00Z,44.8090606938,44.8372483764,44.4307678859,44.465686843
2020-01-06T17:00:00Z,45.3195343334,45.3195343334,44.8850506457,44.9249074139
2020-01-06T18:00:00Z,45.1970233299,45.2310884091,45.0867531703,45.2310884091
2020-01-06T19:00:00Z,45.3905429865,45.3905429865,45.1295496927,45.207465235
2020-01-06T20:00:00Z,45.1545857972,45.5426254356,45.1545857972,45.3338734449
2020-01-06T21:00:00Z,45.3122818462,45.5422492033,45.2343507553,45.2343507553
2020-01-06T22:00:00Z,45.5288102134,45.5288102134,45.282396113,45.2887837976
2020-01-06T23:00:00Z,45.7947400975,45.9020574211,45.6417353119,45.6417353119
2020-01-07T00:00:00Z,45.4623860732,45.9216341251,45.4623860732,45.887343273
2020-01-07T01:00:00Z,45.4357252492,45.5391401926,45.369032502,45.3980109631
2020-01-07T02:00:00Z,45.5048364214,45.6666349752,45.4290867972,45.5339844388
2020-01-07T03:00:00Z,45.3321792869,45.4988148185,45.3083420298,45.3772654684
2020-01-07T04:00:00Z,44.7230176845,45.3315654864,44.7230176845,45.3315654864
2020-01-07T05:00:00Z,45.4660761772,45.4660761772,45.0142781965,45.0142781965
2020-01-07T06:00:00Z,45.4574176213,45.4574176213,45.1904168095,45.4054453531
2020-01-07T07:00:00Z,45.7066918242,45.7468606202,45.4409391594,45.4409391594
2020-01-07T08:00:00Z,45.7051283934,45.8839398265,45.6046774754,45.7373583418
2020-01-07T09:00:00Z,45.6085380005,45.823032663,45.6085380005,45.7244507165
2020-01-07T10:00:00Z,45.7310654669,45.7379477305,45.476663693,45.476663693
2020-01-07T11:00:00Z,45.9151123544,45.9720706569,45.7563625002,45.7563625002
2020-01-07T12:00:00Z,45.4765493161,45.9026600409,45.4765493161,45.9026600409
2020-01-07T13:00:00Z,45.3848130131,45.5573283374,45.1829752706,45.5121743673
2020-01-07T14:00:00Z,45.4747941217,45.617874052,45.2472178174,45.3295610961
2020-01-07T15:00:00Z,45.2306073719,45.6474618397,45.1968902996,45.4537616055
2020-01-07T16:00:00Z,45.8577710423,45.8577710423,45.4235968657,45.4235968657
2020-01-07T17:00:00Z,46.4444449193,46.6990941438,45.9947630689,46.0009795904
2020-01-07T18:00:00Z,46.8222044826,46.8222044826,46.405959065,46.4196361939
2020-01-07T19:00:00Z,46.6243532419,46.6243532419,46.3865736079,46.5761024159
2020-01-07T20:00:00Z,46.6444756671,46.6444756671,46.4765868765,46.4960575739
2020-01-07T21:00:00Z,46.1743694893,46.6517047033,46.1743694893,46.6517047033
2020-01-07T22:00:00Z,46.2846728648,46.2846728648,46.0678331247,46.2309175122
2020-01-07T23:00:00Z,46.4357300184,46.553019449,46.3053825468,46.3936332831
2020-01-08T00:00:00Z,46.9569931015,46.9569931015,46.3916622076,46.4398218777
2020-01-08T01:00:00Z,47.6088900064,47.9943697452,47.6088900064,47.9943697452
2020-01-08T02:00:00Z,47.6334383043,47.7622895409,47.5014718017,47.6307024506
2020-01-08T03:00:00Z,47.5965654501,47.6333574587,47.274672187,47.5174216744
2020-01-08T04:00:00Z,47.8992795748,47.8992795748,47.6020993723,47.6020993723
2020-01-08T05:00:00Z,48.1077939311,48.1077939311,47.818443163,47.9722863188
2020-01-08T06:00:00Z,47.9742598157,48.1685845643,47.8516428704,47.871267133
2020-01-08T07:00:00Z,47.5530685406,47.9356747522,47.5530685406,47.852186676
2020-01-08T08:00:00Z,47.6303611154,47.7536565205,47.4539603302,47.5912052797
2020-01-08T09:00:00Z,47.5439408893,47.7278266079,47.5439408893,47.6851738194
2020-01-08T10:00:00Z,47.8856104258,47.9005997596,47.5853024143,47.5853024143
2020-01-08T11:00:00Z,47.7137403116,47.8586503867,47.7137403116,47.8586503867
2020-01-08T12:00:00Z,47.8395682598,47.9455836255,47.6122938233,47.6763033167
2020-01-08T13:00:00Z,47.7043907773,47.813839138,47.2786524804,47.813839138
2020-01-08T14:00:00Z,47.1989394168,47.6562232723,47.1723167309,47.6562232723
2020-01-08T15:00:00Z,47.1012324735,47.2630148695,46.7627082807,47.2630148695
2020-01-08T16:00:00Z,45.5375465675,47.1210354557,45.5375465675,47.1210354557
2020-01-08T17:00:00Z,45.6866236801,45.7476642206,45.2359478346,45.4585910821
2020-01-08T18:00:00Z,45.5560413752,45.7591217964,45.5560413752,45.6970242913
2020-01-08T19:00:00Z,45.2405084417,45.543056871,45.1547602406,45.543056871
2020-01-08T20:00:00Z,44.8281831756,45.2321494403,44.6485811506,45.2321494403
2020-01-08T21:00:00Z,45.1190236056,45.1689368405,44.8917006084,44.9023509321
2020-01-08T22:00:00Z,45.5421130665,45.6089251371,45.0574805474,45.1101461781
2020-01-08T23:00:00Z,45.6412305587,45.6439570258,45.5359648777,45.6045470668
2020-01-09T00:00:00Z,45.3363435991,45.5959714621,45.2401654533,45.5959714621
2020-01-09T01:00:00Z,45.6038094386,45.7392952982,45.3096899851,45.3148798104
2020-01-09T02:00:00Z,45.5229748967,45.655331246,45.4881087832,45.6413015937
2020-01-09T03:00:00Z,45.1883520402,45.4999631907,45.1883520402,45.4594953658
2020-01-09T04:00:00Z,45.1924033003,45.5439471298,45.1924033003,45.3794047445
2020-01-09T05:00:00Z,45.3727856728,45.3805944356,45.2002217953,45.2918043901
2020-01-09T06:00:00Z,45.6346910318,45.6417920132,45.4172937913,45.4172937913
2020-01-09T07:00:00Z,45.6235205637,45.6453547309,45.5590280257,45.6257205397
2020-01-09T08:00:00Z,45.3511856603,45.5514523596,45.3314088838,45.5392803695
2020-01-09T09:00:00Z,45.4201449049,45.5213506938,45.3381445324,45.3700637737
2020-01-09T10:00:00Z,45.4413926066,45.5703956082,45.2552334177,45.4044522727
2020-01-09T11:00:00Z,45.1505588922,45.4675581716,45.1505588922,45.4457768386
2020-01-09T12:00:00Z,45.2919882447,45.3273253821,45.1398564929,45.2142767686
2020-01-09T13:00:00Z,45.4283843842,45.5282935607,45.3666483342,45.3993041055
2020-01-09T14:00:00Z,45.1882104663,45.4699096345,45.1771010373,45.381383669
2020-01-09T15:00:00Z,45.2915515642,45.3776157518,45.1536853074,45.1900740136
2020-01-09T16:00:00Z,44.7625159377,45.3052452301,44.7261837155,45.3052452301
2020-01-09T17:00:00Z,44.4352204658,44.8029539101,44.4352204658,44.8029539101
2020-01-09T18:00:00Z,44.3562811339,44.4505012033,44.3160245232,44.4269820154
2020-01-09T19:00:00Z,44.7795026016,44.7795026016,44.3517541838,44.3517541838
2020-01-09T20:00:00Z,44.8226948553,45.0930561406,44.7105357435,44.7364536332
2020-01-09T21:00:00Z,44.6316757767,44.6765831373,44.5251515113,44.6508815886
2020-01-09T22:00:00Z,44.8807332057,44.8807332057,44.5210629849,44.5718001589
2020-01-09T23:00:00Z,45.2442129511,45.2442129511,44.7627376264,44.8278407514
2020-01-10T00:00:00Z,45.1250677989,45.3185025385,45.0934310155,45.1474850127
2020-01-10T01:00:00Z,44.9202210929,45.2143068787,44.8860931542,45.1296297141
2020-01-10T02:00:00Z,45.0005555891,45.0551766421,44.8421302027,44.8925966547
2020-01-10T03:00:00Z,45.0246296605,45.104156243,44.9012450306,44.9012450306
2020-01-10T04:00:00Z,44.8665020602,45.0960788356,44.8529321719,45.048029117
2020-01-10T05:00:00Z,44.6990361819,44.9264657962,44.6990361819,44.8812933042
2020-01-10T06:00:00Z,44.8374119583,44.934245151,44.7417684656,44.7417684656
2020-01-10T07:00:00Z,44.8089122245,44.9425352364,44.7748797781,44.8808962375
2020-01-10T08:00:00Z,44.6147023847,44.8197441572,44.6036794745,44.8197441572
2020-01-10T09:00:00Z,44.4576255232,44.6530174546,44.2922846672,44.6530174546
2020-01-10T10:00:00Z,44.5014004314,44.5014004314,44.1441319956,44.4219376185
2020-01-10T11:00:00Z,45.1989348974,45.4032240252,44.6106037671,44.6106037671
2020-01-10T12:00:00Z,45.8842568442,45.9229367589,45.1393159729,45.2244847342
2020-01-10T13:00:00Z,46.0632945254,46.2259942097,45.8561928325,46.0180780615
2020-01-10T14:00:00Z,46.7322783469,46.7322783469,45.9780733686,46.0042269456
2020-01-10T15:00:00Z,48.173730755,48.2214431856,46.7122116945,46.7122116945
2020-01-10T16:00:00Z,47.8399003395,48.2647146864,47.728376637,48.2628642235
2020-01-10T17:00:00Z,47.3629997661,47.8058124836,47.2038221848,47.8058124836
2020-01-10T18:00:00Z,48.0101393993,48.2456585863,47.4866601896,47.4866601896
2020-01-10T19:00:00Z,49.0276281223,49.0276281223,47.9751706114,47.9751706114
2020-01-10T20:00:00Z,48.8736575035,49.0544542078,48.6404669462,48.828597757
2020-01-10T21:00:00Z,48.7197843011,48.9301051158,48.4812297236,48.6998008918
2020-01-10T22:00:00Z,48.3522873869,48.6566119498,48.1065433522,48.6566119498
2020-01-10T23:00:00Z,48.7273277229,48.7273277229,48.3478735239,48.4700796339
2020-01-11T00:00:00Z,48.7067146865,48.7780346578,48.4264569582,48.557150712
2020-01-11T01:00:00Z,49.1644383218,49.4105250189,48.6976021918,48.6976021918
2020-01-11T02:00:00Z,49.151435012,49.2178392078,48.9126845025,49.0839667459
2020-01-11T03:00:00Z,48.8506890053,49.1109863533,48.7350179157,49.1109863533
2020-01-11T04:00:00Z,48.4913805333,48.8955952766,48.4155329852,48.811481902
2020-01-11T05:00:00Z,48.3568191087,48.4222077056,48.2327789556,48.360606436
2020-01-11T06:00:00Z,48.7207863987,48.7207863987,48.1984896662,48.335599089
2020-01-11T07:00:00Z,48.850899728,49.0533950385,48.7076957007,49.0533950385
